report_id,created_at,area,category,priority,status,acknowledged_at,assigned_at,closed_at,reopened,rating,source_ref
R-03-4-2,2026-09-03T14:00:00Z,المدخل الشرقي,المعلومة والهوية,متوسط,مغلق,2026-09-03T14:44:00Z,2026-09-03T15:05:00Z,2026-09-04T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-04-1-1,2026-09-04T08:00:00Z,البلدة القديمة,المعلومة والهوية,منخفض,مغلق,2026-09-04T08:18:00Z,2026-09-04T08:35:00Z,2026-09-04T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-04-1-2,2026-09-04T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-04T11:23:00Z,2026-09-04T11:35:00Z,2026-09-05T00:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-04-2-1,2026-09-04T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,منخفض,مغلق,2026-09-04T09:25:00Z,2026-09-04T09:45:00Z,2026-09-05T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-04-2-2,2026-09-04T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,متوسط,مغلق,2026-09-04T12:30:00Z,2026-09-04T12:45:00Z,2026-09-05T06:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-04-3-1,2026-09-04T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-04T10:32:00Z,2026-09-04T10:55:00Z,2026-09-05T06:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-04-3-2,2026-09-04T13:00:00Z,الكنيسة,المعلومة والهوية,متوسط,مغلق,2026-09-04T13:37:00Z,2026-09-04T13:55:00Z,2026-09-05T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-04-4-1,2026-09-04T11:00:00Z,المدخل الشرقي,المعلومة والهوية,منخفض,مغلق,2026-09-04T11:39:00Z,2026-09-04T12:05:00Z,2026-09-05T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-04-4-2,2026-09-04T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-04T14:44:00Z,2026-09-04T15:05:00Z,2026-09-05T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-05-1-1,2026-09-05T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-05T08:18:00Z,2026-09-05T08:35:00Z,2026-09-05T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-05-1-2,2026-09-05T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-05T11:23:00Z,2026-09-05T11:35:00Z,2026-09-06T00:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-05-2-1,2026-09-05T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,منخفض,مغلق,2026-09-05T09:25:00Z,2026-09-05T09:45:00Z,2026-09-06T00:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-05-2-2,2026-09-05T12:00:00Z,الشارع الرئيسي,المعلومة والهوية,متوسط,مغلق,2026-09-05T12:30:00Z,2026-09-05T12:45:00Z,2026-09-06T06:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-05-3-1,2026-09-05T10:00:00Z,الكنيسة,المعلومة والهوية,منخفض,مغلق,2026-09-05T10:32:00Z,2026-09-05T10:55:00Z,2026-09-06T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-05-3-2,2026-09-05T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-05T13:37:00Z,2026-09-05T13:55:00Z,2026-09-06T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-05-4-1,2026-09-05T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-05T11:39:00Z,2026-09-05T12:05:00Z,2026-09-06T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-05-4-2,2026-09-05T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-05T14:44:00Z,2026-09-05T15:05:00Z,2026-09-06T18:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-06-1-1,2026-09-06T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-06T08:18:00Z,2026-09-06T08:35:00Z,2026-09-06T18:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-06-1-2,2026-09-06T11:00:00Z,البلدة القديمة,المعلومة والهوية,متوسط,مغلق,2026-09-06T11:23:00Z,2026-09-06T11:35:00Z,2026-09-07T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-06-2-1,2026-09-06T09:00:00Z,الشارع الرئيسي,المعلومة والهوية,منخفض,مغلق,2026-09-06T09:25:00Z,2026-09-06T09:45:00Z,2026-09-07T00:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-06-2-2,2026-09-06T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,متوسط,مغلق,2026-09-06T12:30:00Z,2026-09-06T12:45:00Z,2026-09-07T06:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-06-3-1,2026-09-06T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-06T10:32:00Z,2026-09-06T10:55:00Z,2026-09-07T06:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-06-3-2,2026-09-06T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-06T13:37:00Z,2026-09-06T13:55:00Z,2026-09-07T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-06-4-1,2026-09-06T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-06T11:39:00Z,2026-09-06T12:05:00Z,2026-09-07T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-06-4-2,2026-09-06T14:00:00Z,المدخل الشرقي,المعلومة والهوية,متوسط,مغلق,2026-09-06T14:44:00Z,2026-09-06T15:05:00Z,2026-09-07T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-07-1-1,2026-09-07T08:00:00Z,البلدة القديمة,المعلومة والهوية,منخفض,مغلق,2026-09-07T08:18:00Z,2026-09-07T08:35:00Z,2026-09-07T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-07-1-2,2026-09-07T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-07T11:23:00Z,2026-09-07T11:35:00Z,2026-09-08T00:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-07-2-1,2026-09-07T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,منخفض,مغلق,2026-09-07T09:25:00Z,2026-09-07T09:45:00Z,2026-09-08T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-07-2-2,2026-09-07T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,متوسط,مغلق,2026-09-07T12:30:00Z,2026-09-07T12:45:00Z,2026-09-08T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-07-3-1,2026-09-07T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-07T10:32:00Z,2026-09-07T10:55:00Z,2026-09-08T06:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-07-3-2,2026-09-07T13:00:00Z,الكنيسة,المعلومة والهوية,متوسط,مغلق,2026-09-07T13:37:00Z,2026-09-07T13:55:00Z,2026-09-08T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-07-4-1,2026-09-07T11:00:00Z,المدخل الشرقي,المعلومة والهوية,منخفض,مغلق,2026-09-07T11:39:00Z,2026-09-07T12:05:00Z,2026-09-08T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-07-4-2,2026-09-07T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-07T14:44:00Z,2026-09-07T15:05:00Z,2026-09-08T18:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-08-1-1,2026-09-08T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-08T08:18:00Z,2026-09-08T08:35:00Z,2026-09-08T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-08-1-2,2026-09-08T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-08T11:23:00Z,2026-09-08T11:35:00Z,2026-09-09T00:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-08-2-1,2026-09-08T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-08T09:37:00Z,2026-09-08T10:03:00Z,2026-09-09T14:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-08-2-2,2026-09-08T12:00:00Z,الشارع الرئيسي,المعلومة والهوية,عالٍ,مغلق,2026-09-08T12:42:00Z,2026-09-08T13:03:00Z,2026-09-09T20:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-08-3-1,2026-09-08T10:00:00Z,الكنيسة,المعلومة والهوية,منخفض,مغلق,2026-09-08T10:32:00Z,2026-09-08T10:55:00Z,2026-09-09T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-08-3-2,2026-09-08T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-08T13:37:00Z,2026-09-08T13:55:00Z,2026-09-09T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-08-4-1,2026-09-08T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-08T11:39:00Z,2026-09-08T12:05:00Z,2026-09-09T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-08-4-2,2026-09-08T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-08T14:44:00Z,2026-09-08T15:05:00Z,2026-09-09T18:00:00Z,1,5,synthetic-pilot-v1: deterministic fixture
R-09-1-1,2026-09-09T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-09T08:18:00Z,2026-09-09T08:35:00Z,2026-09-09T18:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-09-1-2,2026-09-09T11:00:00Z,البلدة القديمة,المعلومة والهوية,متوسط,مغلق,2026-09-09T11:23:00Z,2026-09-09T11:35:00Z,2026-09-10T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-09-2-1,2026-09-09T09:00:00Z,الشارع الرئيسي,المعلومة والهوية,عالٍ,مغلق,2026-09-09T09:37:00Z,2026-09-09T10:03:00Z,2026-09-10T14:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-09-2-2,2026-09-09T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-09T12:42:00Z,2026-09-09T13:03:00Z,2026-09-10T20:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-09-3-1,2026-09-09T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-09T10:32:00Z,2026-09-09T10:55:00Z,2026-09-10T06:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-09-3-2,2026-09-09T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-09T13:37:00Z,2026-09-09T13:55:00Z,2026-09-10T12:00:00Z,1,3,synthetic-pilot-v1: deterministic fixture
R-09-4-1,2026-09-09T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-09T11:39:00Z,2026-09-09T12:05:00Z,2026-09-10T12:00:00Z,1,5,synthetic-pilot-v1: deterministic fixture
R-09-4-2,2026-09-09T14:00:00Z,المدخل الشرقي,المعلومة والهوية,متوسط,مغلق,2026-09-09T14:44:00Z,2026-09-09T15:05:00Z,2026-09-10T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-10-1-1,2026-09-10T08:00:00Z,البلدة القديمة,المعلومة والهوية,منخفض,مغلق,2026-09-10T08:18:00Z,2026-09-10T08:35:00Z,2026-09-10T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-10-1-2,2026-09-10T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-10T11:23:00Z,2026-09-10T11:35:00Z,2026-09-11T00:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-10-2-1,2026-09-10T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-10T09:37:00Z,2026-09-10T10:03:00Z,2026-09-11T14:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-10-2-2,2026-09-10T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-10T12:42:00Z,2026-09-10T13:03:00Z,2026-09-11T20:00:00Z,1,4,synthetic-pilot-v1: deterministic fixture
R-10-3-1,2026-09-10T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-10T10:32:00Z,2026-09-10T10:55:00Z,2026-09-11T06:00:00Z,1,3,synthetic-pilot-v1: deterministic fixture
R-10-3-2,2026-09-10T13:00:00Z,الكنيسة,المعلومة والهوية,متوسط,مغلق,2026-09-10T13:37:00Z,2026-09-10T13:55:00Z,2026-09-11T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-10-4-1,2026-09-10T11:00:00Z,المدخل الشرقي,المعلومة والهوية,منخفض,مغلق,2026-09-10T11:39:00Z,2026-09-10T12:05:00Z,2026-09-11T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-10-4-2,2026-09-10T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-10T14:44:00Z,2026-09-10T15:05:00Z,2026-09-11T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-11-1-1,2026-09-11T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-11T08:18:00Z,2026-09-11T08:35:00Z,2026-09-11T18:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-11-1-2,2026-09-11T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-11T11:23:00Z,2026-09-11T11:35:00Z,2026-09-12T00:00:00Z,1,5,synthetic-pilot-v1: deterministic fixture
R-11-2-1,2026-09-11T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-11T09:37:00Z,2026-09-11T10:03:00Z,2026-09-12T14:00:00Z,1,4,synthetic-pilot-v1: deterministic fixture
R-11-2-2,2026-09-11T12:00:00Z,الشارع الرئيسي,المعلومة والهوية,عالٍ,مغلق,2026-09-11T12:42:00Z,2026-09-11T13:03:00Z,2026-09-12T20:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-11-3-1,2026-09-11T10:00:00Z,الكنيسة,المعلومة والهوية,منخفض,مغلق,2026-09-11T10:32:00Z,2026-09-11T10:55:00Z,2026-09-12T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-11-3-2,2026-09-11T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-11T13:37:00Z,2026-09-11T13:55:00Z,2026-09-12T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-11-4-1,2026-09-11T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-11T11:39:00Z,2026-09-11T12:05:00Z,2026-09-12T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-11-4-2,2026-09-11T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-11T14:44:00Z,2026-09-11T15:05:00Z,2026-09-12T18:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-12-1-1,2026-09-12T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-12T08:18:00Z,2026-09-12T08:35:00Z,2026-09-12T18:00:00Z,1,5,synthetic-pilot-v1: deterministic fixture
R-12-1-2,2026-09-12T11:00:00Z,البلدة القديمة,المعلومة والهوية,متوسط,مغلق,2026-09-12T11:23:00Z,2026-09-12T11:35:00Z,2026-09-13T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-12-2-1,2026-09-12T09:00:00Z,الشارع الرئيسي,المعلومة والهوية,عالٍ,مغلق,2026-09-12T09:37:00Z,2026-09-12T10:03:00Z,2026-09-13T14:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-12-2-2,2026-09-12T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-12T12:42:00Z,2026-09-12T13:03:00Z,2026-09-13T20:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-12-3-1,2026-09-12T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-12T10:32:00Z,2026-09-12T10:55:00Z,2026-09-13T06:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-12-3-2,2026-09-12T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-12T13:37:00Z,2026-09-12T13:55:00Z,2026-09-13T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-12-4-1,2026-09-12T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-12T11:39:00Z,2026-09-12T12:05:00Z,2026-09-13T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-12-4-2,2026-09-12T14:00:00Z,المدخل الشرقي,المعلومة والهوية,متوسط,مغلق,2026-09-12T14:44:00Z,2026-09-12T15:05:00Z,2026-09-13T18:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-13-1-1,2026-09-13T08:00:00Z,البلدة القديمة,المعلومة والهوية,منخفض,مغلق,2026-09-13T08:18:00Z,2026-09-13T08:35:00Z,2026-09-13T18:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-13-1-2,2026-09-13T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-13T11:23:00Z,2026-09-13T11:35:00Z,2026-09-14T00:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-13-2-1,2026-09-13T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-13T09:37:00Z,2026-09-13T10:03:00Z,2026-09-14T14:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-13-2-2,2026-09-13T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-13T12:42:00Z,2026-09-13T13:03:00Z,2026-09-14T20:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-13-3-1,2026-09-13T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-13T10:32:00Z,2026-09-13T10:55:00Z,2026-09-14T06:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-13-3-2,2026-09-13T13:00:00Z,الكنيسة,المعلومة والهوية,متوسط,مغلق,2026-09-13T13:37:00Z,2026-09-13T13:55:00Z,2026-09-14T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-13-4-1,2026-09-13T11:00:00Z,المدخل الشرقي,المعلومة والهوية,منخفض,مغلق,2026-09-13T11:39:00Z,2026-09-13T12:05:00Z,2026-09-14T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-13-4-2,2026-09-13T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-13T14:44:00Z,2026-09-13T15:05:00Z,2026-09-14T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-14-1-1,2026-09-14T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-14T08:18:00Z,2026-09-14T08:35:00Z,2026-09-14T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-14-1-2,2026-09-14T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-14T11:23:00Z,2026-09-14T11:35:00Z,2026-09-15T00:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-14-2-1,2026-09-14T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,عالٍ,مغلق,2026-09-14T09:37:00Z,2026-09-14T10:03:00Z,2026-09-15T14:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-14-2-2,2026-09-14T12:00:00Z,الشارع الرئيسي,المعلومة والهوية,عالٍ,مغلق,2026-09-14T12:42:00Z,2026-09-14T13:03:00Z,2026-09-15T20:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-14-3-1,2026-09-14T10:00:00Z,الكنيسة,المعلومة والهوية,منخفض,مغلق,2026-09-14T10:32:00Z,2026-09-14T10:55:00Z,2026-09-15T06:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-14-3-2,2026-09-14T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-14T13:37:00Z,2026-09-14T13:55:00Z,2026-09-15T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-14-4-1,2026-09-14T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-14T11:39:00Z,2026-09-14T12:05:00Z,2026-09-15T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-14-4-2,2026-09-14T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-14T14:44:00Z,2026-09-14T15:05:00Z,2026-09-15T18:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
